Yeast(tsp),Flour(c),Sugar,Egg,Fat(c),Milk(c),Baking Soda(tsp),Baking Powder(tsp),Almond powder,chocolate powder,Banana,Flaky Butter,Honey,Water,Butter,Salt(tsp),Label,temperature,time
0,100,120,4,0,0,0,0,0,0,0,0,0,0,0,0,cake,160,60
0,60,90,4,0,0,0,0,60,0,0,0,0,0,20,0,cake,160,60
0,80,125,4,0,0,0,0,20,20,0,0,0,0,25,0,cake,160,60
0,10,110,4,0,0,0,0,90,20,0,0,0,0,80,0,cake,160,60
0,190,110,3,0,40,0,1.5,0,0,0,0,30,0,120,0.25,cake,160,60
0,200,180,3,0,110,0,1.5,0,0,0,0,0,0,85,0.25,cake,160,60
0,195,200,4,0,0,0,1.5,35,0,0,0,0,0,200,0.5,cake,170,50
0,200,105,2,0,50,0,2,0,0,0,0,0,0,85,0,cake,170,50
0,100,100,4,0,20,0,0,0,0,0,0,40,0,35,0,cake,170,50
0,150,150,3,0,100,0,1.5,0,0,0,0,0,0,75,0,cake,170,50
0,300,145,3,0,0,0,2,0,0,0,0,0,0,150,0.75,cake,170,50
0,90,80,2,0,20,0,1,0,0,0,0,0,0,90,0,cake,170,50
0,90,90,2,0,20,0,1,20,0,0,0,0,0,90,0,cake,170,50
0,180,160,3,0,30,0,2,0,0,0,0,0,0,160,0,cake,170,50
0,160,180,3,0,30,0,2.5,0,0,0,0,0,0,180,0,cake,160,60
0,140,140,2,0,30,0,2,0,5,0,0,0,0,120,0,cake,160,60
0,150,180,3,0,0,0,1,0,0,0,0,0,0,125,0,cake,160,60
0,150,75,1,0,20,0,1,0,0,2,0,0,0,100,1,cake,160,60
0,180,160,2,0,0,0,1,0,0,0,0,0,0,180,0,cake,180,20
0,185,210,3,0,100,0,1,0,0,0,0,0,0,60,0.5,cake,175,45
0,215,135,2,0,50,0,1,0,0,0,0,0,0,110,0.5,cake,175,45
0,185,240,3,0,100,0,1,0,0,0,0,0,0,60,0.5,cake,175,45
0,165,180,3,0,20,0,0.75,0,40,0,0,0,0,180,0.5,cake,175,45
0,220,250,4,0,0,0,0.67,0,0,0,0,0,0,220,0,cake,175,45
0,50,115,2,0,0,0,1,55,0,0,0,0,0,65,0,cake,175,45
0,120,50,2,0,100,0,2,0,0,0,0,60,0,0,0.5,cake,175,45
0,75,125,4,0,0,0,0,0,25,0,0,0,0,25,0,cake,175,45
0,105,180,6,0,0,0,0,0,30,0,0,0,0,60,0,cake,175,45
0,130,85,2,0,40,0,2,0,0,0,0,20,0,130,0,cake,175,45
0,300,50,2,0,45,0,2,0,0,0,0,0,0,115,1,cake,175,45
0,180,120,3,0,50,0,1,0,0,0,0,0,0,140,0.25,cake,175,45
0,140,120,3,0,90,0,1,40,0,0,0,20,0,140,0.5,cake,175,45
0,140,120,3,0,20,0,1,0,0,0,0,30,0,140,0,cake,175,45
0,180,120,3,0,0,0,1,0,0,0,0,30,0,140,0,cake,175,45
0,140,120,3,0,15,0,1,40,0,0,0,15,0,140,0,cake,175,45
0,180,180,3,0,0,0,1,0,0,0,0,0,0,180,0,cake,170,50
0,160,140,2,0,60,0,1,0,0,0,0,20,0,60,0,cake,175,45
0,80,80,2,0,0,0,1,0,0,0,0,0,0,100,0,cake,200,20
0,200,200,4,0,0,0,2,0,0,0,0,0,0,200,0,cake,160,60
0,180,120,3,0,30,0,1,0,0,0,0,0,0,140,0,cake,175,45
0,40,95,1,0,0,0,0.5,55,5,0,0,0,0,105,0.5,cake,170,30
0,235,150,2,0,0,0,2,0,0,0,0,0,0,100,0,cake,170,45
0,200,100,3,0,0,0,1,0,0,3,0,0,0,50,0,cake,180,30
0,170,85,6,0,0,0,2,0,0,0,0,0,0,180,0,cake,175,40
0,225,290,2,0,100,0,1,0,0,0,0,0,0,100,0.5,cake,180,30
0,100,180,2,0,120,0,2,0,42,0,0,0,0,62,0,cake,160,60
0,250,260,3,0,0,0,2,0,0,0,0,0,0,167,0.1,cake,155,25
0,225,140,2,0,0,0,1,0,0,2,0,20,0,125,0,cake,180,50
0,270,125,3,0,0,0,2,0,0,0,0,30,0,125,0,cake,180,45
0,235,310,3,0,0,0,2,0,0,0,0,0,0,95,0,cake,180,50
0,200,110,3,0,0,0,1,0,0,0,0,40,0,190,0,cake,160,60
0,150,65,3,0,100,0,1.5,0,0,0,0,50,0,0,0,cake,165,50
0,150,110,4,0,50,0,1.5,0,0,0,0,0,0,75,0,cake,165,60
0,175,135,4,0,0,0,1.5,0,0,0,0,0,0,70,0,cake,160,45
0,180,140,3,0,0,0,1.5,0,0,0,0,0,0,50,0,cake,170,55
0,150,125,2,0,0,0,1.5,0,0,2,0,0,0,50,0,cake,165,45
0,70,115,2,0,75,0,1.5,70,15,0,0,0,0,90,0,cake,165,60
0,120,80,2,0,30,0,1.5,0,0,0,0,0,0,110,0,cake,190,20
0,100,150,3,0,0,0,1.5,90,0,0,0,0,0,130,0,cake,175,35
0,190,80,4,0,75,0,1.5,0,0,0,0,0,0,80,0.5,cake,180,25
0,250,120,5,0,100,0,2,0,0,0,0,0,0,125,0.5,cake,175,40
0,250,150,4,0,100,0,1.5,0,0,0,0,0,0,125,1,cake,160,55
0,180,120,3,0,0,0,1,0,0,0,0,0,0,125,0,cake,180,40
0,200,120,5,0,60,0,0.5,50,0,0,0,0,0,80,0,cake,180,40
0,120,60,2,0,40,0,1,0,0,0,0,20,0,120,0,cake,200,20
0,200,60,2,0,0,0,2,0,0,3,0,0,0,50,0,cake,175,45
0,210,190,2,0,80,0,1.5,0,0,0,0,0,0,100,0.5,cake,180,20
0,290,300,1,0,100,0,1.5,0,64,0,0,0,0,100,0,cake,150,60
0,160,60,3,0,0,0,0.5,0,0,0,0,50,0,100,0.5,cake,160,35
0,135,120,3,0,75,0,1,0,36,0,0,0,0,150,1,cake,160,60
0,130,110,2.5,0,25,0,1,0,0,0,0,0,0,140,0,cake,180,25
0,170,170,3,0,0,0,1,0,0,0,0,0,0,170,0,cake,170,30
0,170,145,2,0,25,0,1,0,0,0,0,0,0,130,0.5,cake,160,45
0,140,100,2,0,80,0,1,0,0,0,0,0,0,110,0,cake,180,40
0,170,100,3,0,0,0,1,0,0,0,0,0,0,150,0,cake,170,45
0,150,100,3,0,0,0,0.5,0,0,0,0,0,0,150,0,cake,170,40
0,70,100,2,0,0,0,0.5,0,30,0,0,0,0,100,0,cake,170,50
0,156,50,2.5,0,50,0,2,0,0,0,0,0,0,130,0,cake,180,30
0,110,65,2,0,0,0,1,0,0,0,0,0,0,110,0,cake,170,50
0,160,50,2,0,30,0,1,0,0,2,0,0,0,70,0,cake,180,40
0,160,160,2,0,150,0,1,0,0,0,0,0,0,50,0,cake,180,30
0,160,150,2,0,0,0,0,0,0,0,0,0,0,50,0.5,cake,180,15
0,135,90,2,0,0,0,1.5,0,0,0,0,7,0,112,0,cake,180,40
0,180,120,3,0,0,0,1,0,0,0,0,0,0,200,0,cake,170,50
0,100,40,2,0,0,0,0,6,0,0,0,0,0,100,0,cake,170,50
0,130,30,2,0,20,0,0,0,0,0,0,0,0,140,0.5,cake,175,40
